اسم المشروع,نوع المنافسة,حالة المشروع,الرقم المرجعي ,اسم المورد,تاريخ أمر الشراء,تاريخ توقيع العقد,مدة العقد
مشروع انشاء مركز التعافي من الكوارث,منافسة عامة,تحت التنفيذ,210239317269,الشركة الوطنية لأنظمه الحاسب الالي,2021-12-30,2022-02-03,12
تحسين النظام الالكتروني للمنازعات الضريبية,منافسة عامة,تحت التنفيذ,210639376087, شركة اجادة للنظم المحدودة,2021-12-13,2022-01-13,12
مشروع نظام الآلي لأتمتة أعمال المراجعة الداخلية,منافسة عامة,تحت التنفيذ,210839399305,شركة برايس وترهاوس كوبرز للاستشارات,2021-11-30,2022-01-17,4
تصميم وتنفيذ تحسينات على نظام ايراد مرحلة 1,منافسة عامة,تحت التنفيذ,210939419662, إنفينيو  لحلول  الأعمال,2021-11-30,2022-01-18,12
توفير خوادم ووحدات تخزين لنظام الفوترة الإلكترونية,منافسة عامة,تحت التنفيذ,210939420266, الوطنية لانظمة الحاسب الالي,2021-11-14,2021-12-07,4
تشغيل مركز الاتصال لهيئة الزكاة والضريبة والجمارك,منافسة عامة,تحت التنفيذ,210939415170, الخليج للتدريب والتعليم,2021-12-21,2022-01-19,12
خدمات الفحص الطبي ما قبل التوظيف,منافسة عامة,تحت التنفيذ,210939426510, شركة طيب السعودية الطبية,2021-12-26,2022-01-19,4
مشروع جائزة الملك عبدالعزيز والنموذج الأوربي للجودة,منافسة عامة,تحت التنفيذ,210939426392, شركة أندرسن السعودية للاستشارات,2022-01-30,2022-03-09,6
تجديد الدعم الفني والرخص لنظام فايزور,منافسة عامة,تحت التنفيذ,210939428176,فايزور ليمتد,2021-11-28,2022-03-09,12
لوحات داخلية وخارجية لمباني الهيئة,منافسة عامة,تحت التنفيذ,211039429655, اديب لصناعه اللوحات الداخليه والخارجية,2022-01-10,2022-02-10,12
مشروع ترقية وتطوير نظام الاتصال الصوتي والمرئي,منافسة عامة,تحت التنفيذ,211039429871, داتا كونسولت السعودية,2022-01-03,2022-01-19,3
"مركز تحكم الدمج, متابعة تحقيق منافع الدمج, متابعة المخاطر, إدارة التغيير, واستراتيجية التواصل",منافسة عامة,تحت التنفيذ,211039429922,فرع شركة ماكينزي اند كومباني انك انترناشيونال,2021-12-30,2022-03-16,12
توفير رخص أنظمة قواعد البيانات,منافسة عامة,تحت التنفيذ,211039430109,شركة المعمر لانظمة المعلومات,2021-12-16,2022-01-12,3
مشروع توريد وتركيب نظام ادارة المزادات,منافسة عامة,تحت التنفيذ,211039430702, شركة شور العالمية للتقنية,2022-01-11,2022-02-10,10
مطبوعات (استكرات) الهوية الداخلية لمباني الهيئة,منافسة عامة,تحت التنفيذ,211039429851, نافذة الافكار للخدمات التجارية,2021-12-13,2022-01-13,12
مشروع تطوير وشراء رخص Remedy,منافسة عامة,تحت التنفيذ,211039431779,سايبرماك لأنظمة المعلومات,2021-11-23,2022-01-05,12
تحسين النماذج وتعزيز القدرات,منافسة عامة,تحت التنفيذ,211039435804, فرع شركة اوليفر وايمان ليمتد,2021-12-13,2022-01-19,4
تأهيل وترميم توسعة مباني الأمانة العامة للجان الضريبية والجمركية بالدمام وجدة,منافسة عامة,تحت التنفيذ,211039436691, مؤسسة مجال للمقاولات العامة,2021-11-14,2021-12-07,1
